allow_commercial,analysis_method,announcement_date,available_in_zeroeval,benchmark_id,benchmark_name,categories_model,country,created_at,data_type,description_x,fine_tuned_from_model_id,implementation_link,is_self_reported,knowledge_cutoff,language_model,license_id_x,max_score_model,modality_model,model_benchmark_id,model_family_id,model_id,multilingual_model,multimodal_x,name_x,normalized_score,organization_country,organization_description,organization_id_x,organization_name_x,organization_website,paper_link,param_count_x,parent_benchmark_id,provider_id,release_date_x,score,self_reported_source_link,source_api_ref,source_paper,source_playground,source_repo_link,source_scorecard_blog_link,source_weights_link,training_tokens,updated_at,verification_date,verification_hardware,verification_notes,verification_provider_id,verified,verified_by_llmstats,website,param_count_disclosed_x,param_count_clean_x,training_tokens_disclosed_x,training_tokens_clean_x,score_clean,normalized_score_clean,license_type_x,release_year_x,release_month_x,release_year_month_x,cost_per_million_io_tokens,model_size_category_x,performance_category,name_y,organization_id_y,organization_name_y,param_count_y,param_count_clean_y,param_count_disclosed_y,training_tokens_clean_y,training_tokens_disclosed_y,multimodal_y,license_id_y,license_type_y,release_date_y,release_year_y,release_month_y,release_year_month_y,model_size_category_y,description_y,name,categories_benchmark,modality_benchmark,multilingual_benchmark,max_score_benchmark,language_benchmark,description,performance_ratio,is_general,is_code,is_math,is_reasoning,is_language,is_multimodal,is_safety,is_long_context,is_roleplay,is_agents,is_factuality,is_vision,is_multimodal_model,is_large_model,is_open_source,is_recent_model,is_2025_model,performance_tier,model_family
,3-shot F1 Score,,,drop,DROP,,,2025-07-19T19:56:13.017079+00:00,benchmark_result,,,,True,,,,,,958.0,,claude-3-5-haiku-20241022,,,,0.831,,,anthropic,,,,,,,,0.831,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:13.017079+00:00,,,,,,False,,False,0.0,False,0.0,0.831,0.831,Unknown,,,,,Undisclosed,Very Good (80-89%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",DROP,"['reasoning', 'math']",text,False,1.0,en,"DROP (Discrete Reasoning Over Paragraphs) is a reading comprehension benchmark requiring discrete reasoning over paragraph content. It contains crowdsourced, adversarially-created questions that require resolving references and performing discrete operations like addition, counting, or sorting, demanding comprehensive paragraph understanding beyond paraphrase-and-entity-typing shortcuts.",0.831,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Very Good (80-90%),claude
,0-shot CoT,,,gpqa,GPQA,,,2025-07-19T19:56:11.725835+00:00,benchmark_result,,,,True,,,,,,331.0,,claude-3-5-haiku-20241022,,,,0.416,,,anthropic,,,,,,,,0.416,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:11.725835+00:00,,,,,,False,,False,0.0,False,0.0,0.416,0.416,Unknown,,,,,Undisclosed,Poor (<60%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",GPQA,"['reasoning', 'general']",text,False,1.0,en,"A challenging dataset of 448 multiple-choice questions written by domain experts in biology, physics, and chemistry. Questions are Google-proof and extremely difficult, with PhD experts reaching 65% accuracy.",0.416,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),claude
,0-shot,,,humaneval,HumanEval,,,2025-07-19T19:56:12.671817+00:00,benchmark_result,,,,True,,,,,,801.0,,claude-3-5-haiku-20241022,,,,0.881,,,anthropic,,,,,,,,0.881,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:12.671817+00:00,,,,,,False,,False,0.0,False,0.0,0.881,0.881,Unknown,,,,,Undisclosed,Very Good (80-89%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",HumanEval,"['reasoning', 'code']",text,False,1.0,en,"A benchmark that measures functional correctness for synthesizing programs from docstrings, consisting of 164 original programming problems assessing language comprehension, algorithms, and simple mathematics",0.881,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Very Good (80-90%),claude
,0-shot CoT,,,math,MATH,,,2025-07-19T19:56:11.885732+00:00,benchmark_result,,,,True,,,,,,417.0,,claude-3-5-haiku-20241022,,,,0.694,,,anthropic,,,,,,,,0.694,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:11.885732+00:00,,,,,,False,,False,0.0,False,0.0,0.694,0.694,Unknown,,,,,Undisclosed,Fair (60-69%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",MATH,"['math', 'reasoning']",text,False,1.0,en,"MATH dataset contains 12,500 challenging competition mathematics problems from AMC 10, AMC 12, AIME, and other mathematics competitions. Each problem includes full step-by-step solutions and spans multiple difficulty levels (1-5) across seven mathematical subjects including Prealgebra, Algebra, Number Theory, Counting and Probability, Geometry, Intermediate Algebra, and Precalculus.",0.694,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Fair (60-70%),claude
,0-shot CoT,,,mgsm,MGSM,,,2025-07-19T19:56:13.705114+00:00,benchmark_result,,,,True,,,,,,1292.0,,claude-3-5-haiku-20241022,,,,0.856,,,anthropic,,,,,,,,0.856,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:13.705114+00:00,,,,,,False,,False,0.0,False,0.0,0.856,0.856,Unknown,,,,,Undisclosed,Very Good (80-89%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",MGSM,"['math', 'reasoning']",text,True,1.0,en,"MGSM (Multilingual Grade School Math) is a benchmark of grade-school math problems. Contains 250 grade-school math problems manually translated from the GSM8K dataset into ten typologically diverse languages: Spanish, French, German, Russian, Chinese, Japanese, Thai, Swahili, Bengali, and Telugu. Evaluates multilingual mathematical reasoning capabilities.",0.856,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Very Good (80-90%),claude
,0-shot CoT,,,mmlu-pro,MMLU-Pro,,,2025-07-19T19:56:11.499754+00:00,benchmark_result,,,,True,,,,,,210.0,,claude-3-5-haiku-20241022,,,,0.65,,,anthropic,,,,,,,,0.65,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:11.499754+00:00,,,,,,False,,False,0.0,False,0.0,0.65,0.65,Unknown,,,,,Undisclosed,Fair (60-69%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",MMLU-Pro,"['language', 'reasoning', 'math', 'general']",text,False,1.0,en,"A more robust and challenging multi-task language understanding benchmark that extends MMLU by expanding multiple-choice options from 4 to 10, eliminating trivial questions, and focusing on reasoning-intensive tasks. Features over 12,000 curated questions across 14 domains and causes a 16-33% accuracy drop compared to original MMLU.",0.65,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Fair (60-70%),claude
,standard,,,swe-bench-verified,SWE-Bench Verified,,,2025-07-19T19:56:13.836974+00:00,benchmark_result,,,,True,,,,,,1347.0,,claude-3-5-haiku-20241022,,,,0.406,,,anthropic,,,,,,,,0.406,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:13.836974+00:00,,,,,,False,,False,0.0,False,0.0,0.406,0.406,Unknown,,,,,Undisclosed,Poor (<60%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",SWE-Bench Verified,"['reasoning', 'frontend_development', 'code']",text,False,1.0,en,"A verified subset of 500 software engineering problems from real GitHub issues, validated by human annotators for evaluating language models' ability to resolve real-world coding issues by generating patches for Python codebases.",0.406,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),claude
,standard,,,tau-bench-airline,TAU-bench Airline,,,2025-07-19T19:56:14.997081+00:00,benchmark_result,,,,True,,,,,,1771.0,,claude-3-5-haiku-20241022,,,,0.228,,,anthropic,,,,,,,,0.228,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:14.997081+00:00,,,,,,False,,False,0.0,False,0.0,0.228,0.228,Unknown,,,,,Undisclosed,Poor (<60%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",TAU-bench Airline,"['reasoning', 'communication']",text,False,1.0,en,"Part of τ-bench (TAU-bench), a benchmark for Tool-Agent-User interaction in real-world domains. The airline domain evaluates language agents' ability to interact with users through dynamic conversations while following domain-specific rules and using API tools. Agents must handle airline-related tasks and policies reliably.",0.228,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),claude
,standard,,,tau-bench-retail,TAU-bench Retail,,,2025-07-19T19:56:14.970473+00:00,benchmark_result,,,,True,,,,,,1757.0,,claude-3-5-haiku-20241022,,,,0.51,,,anthropic,,,,,,,,0.51,https://www.anthropic.com/news/claude-3-5-haiku,,,,,,,,2025-07-19T19:56:14.970473+00:00,,,,,,False,,False,0.0,False,0.0,0.51,0.51,Unknown,,,,,Undisclosed,Poor (<60%),Claude 3.5 Haiku,anthropic,Anthropic,,0.0,False,0.0,False,False,proprietary,Proprietary,2024-10-22,2024.0,10.0,2024-10,Undisclosed,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",TAU-bench Retail,"['reasoning', 'communication']",text,False,1.0,en,"A benchmark for evaluating tool-agent-user interaction in retail environments. Tests language agents' ability to handle dynamic conversations with users while using domain-specific API tools and following policy guidelines. Evaluates agents on tasks like order cancellations, address changes, and order status checks through multi-turn conversations.",0.51,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Poor (<60%),claude
,3-shot CoT,,,big-bench-hard,BIG-Bench Hard,,,2025-07-19T19:56:13.259482+00:00,benchmark_result,,,,True,,,,,,1086.0,,claude-3-5-sonnet-20240620,,,,0.931,,,anthropic,,,,,,,,0.931,https://www.anthropic.com/news/claude-3-5-sonnet,,,,,,,,2025-07-19T19:56:13.259482+00:00,,,,,,False,,False,0.0,False,0.0,0.931,0.931,Unknown,,,,,Undisclosed,Excellent (90%+),Claude 3.5 Sonnet,anthropic,Anthropic,,0.0,False,0.0,False,True,proprietary,Proprietary,2024-06-21,2024.0,6.0,2024-06,Undisclosed,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",BIG-Bench Hard,"['reasoning', 'math', 'language']",text,False,1.0,en,"BIG-Bench Hard (BBH) is a subset of 23 challenging BIG-Bench tasks selected because prior language model evaluations did not outperform average human-rater performance. The benchmark contains 6,511 evaluation examples testing various forms of multi-step reasoning including arithmetic, logical reasoning (Boolean expressions, logical deduction), geometric reasoning, temporal reasoning, and language understanding. Tasks require capabilities such as causal judgment, object counting, navigation, pattern recognition, and complex problem solving.",0.931,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Excellent (90-95%),claude
