announcement_date,available_in_zeroeval,created_at,data_type,description,fine_tuned_from_model_id,knowledge_cutoff,license_id,model_family_id,model_id,multimodal,name,organization_country,organization_description,organization_id,organization_name,organization_website,param_count,release_date,source_api_ref,source_paper,source_playground,source_repo_link,source_scorecard_blog_link,source_weights_link,training_tokens,updated_at
2024-08-22,True,2025-07-19T19:49:05.764734+00:00,model,"State-of-the-art hybrid SSM-Transformer instruction following foundation model, offering superior long context handling, speed, and quality.",,2024-03-05,jamba_open_model_license,,jamba-1.5-large,False,Jamba 1.5 Large,,NLP AI company,ai21,AI21 Labs,https://ai21.com,398000000000,2024-08-22,https://docs.ai21.com/reference/jamba-15-api-ref,,,,https://www.ai21.com/blog/announcing-jamba-model-family,https://huggingface.co/ai21labs/AI21-Jamba-1.5-Large,,2025-07-19T19:49:05.764734+00:00
2024-08-22,True,2025-07-19T19:49:05.767535+00:00,model,"Part of the Jamba 1.5 family, a state-of-the-art hybrid SSM-Transformer instruction following foundation model offering superior long context handling, speed, and quality.",,2024-03-05,jamba_open_model_license,,jamba-1.5-mini,False,Jamba 1.5 Mini,,NLP AI company,ai21,AI21 Labs,https://ai21.com,52000000000,2024-08-22,https://docs.ai21.com/reference/jamba-15-api-ref,https://arxiv.org/abs/2408.12570,,,https://www.ai21.com/blog/announcing-jamba-model-family,https://huggingface.co/ai21labs/AI21-Jamba-1.5-Mini,,2025-07-19T19:49:05.767535+00:00
2024-11-20,True,2025-07-19T19:49:05.429271+00:00,model,"A low-cost multimodal model that is lightning fast for processing images, video, documents, and text.",,,proprietary,,nova-lite,True,Nova Lite,,Cloud and AI services,amazon,Amazon,https://aws.amazon.com,,2024-11-20,https://aws.amazon.com/bedrock/amazon-nova-lite,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,,,,,,2025-07-19T19:49:05.429271+00:00
2024-11-20,True,2025-07-19T19:49:05.435386+00:00,model,A text-only model that delivers lowest-latency responses at very low cost while maintaining strong performance on core language tasks. Optimized for speed and efficiency while preserving high accuracy on key benchmarks.,,,proprietary,,nova-micro,False,Nova Micro,,Cloud and AI services,amazon,Amazon,https://aws.amazon.com,,2024-11-20,https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-nova.html,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,,https://huggingface.co/amazon-agi,,,,2025-07-19T19:49:05.435386+00:00
2024-11-20,True,2025-07-19T19:49:05.431675+00:00,model,"Amazon Nova Pro is a highly-capable multimodal model with state-of-the-art performance across text, image, and video understanding. It excels at core capabilities like language understanding, mathematical reasoning, and multimodal tasks while offering industry-leading speed and cost efficiency.",,,proprietary,,nova-pro,True,Nova Pro,,Cloud and AI services,amazon,Amazon,https://aws.amazon.com,,2024-11-20,https://docs.aws.amazon.com/bedrock/latest/userguide/model-parameters-nova.html,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,,https://huggingface.co/amazon-agi,,,,2025-07-19T19:49:05.431675+00:00
2024-10-22,True,2025-07-19T19:49:05.744002+00:00,model,"Claude 3.5 Haiku is Anthropic's fastest model, delivering advanced coding, tool use, and reasoning capabilities at an accessible price. It excels at user-facing products, specialized sub-agent tasks, and generating personalized experiences from large data volumes. The model is particularly well-suited for code completions, interactive chatbots, data extraction, and real-time content moderation.",,,proprietary,,claude-3-5-haiku-20241022,False,Claude 3.5 Haiku,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2024-10-22,https://docs.anthropic.com/en/docs/intro-to-claude#claude-3-5-family,,https://claude.ai,,https://www.anthropic.com/news/claude-3-5-haiku,,,2025-07-19T19:49:05.744002+00:00
2024-06-21,True,2025-07-19T19:49:05.757926+00:00,model,"Claude 3.5 Sonnet is a powerful AI model. It excels in graduate-level reasoning, undergraduate-level knowledge, and coding proficiency, with improved understanding of nuance, humor, and complex instructions.",,,proprietary,,claude-3-5-sonnet-20240620,True,Claude 3.5 Sonnet,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2024-06-21,https://docs.anthropic.com/en/docs/intro-to-claude#claude-3-5-family,,https://claude.ai,,https://www.anthropic.com/news/claude-3-5-sonnet,,,2025-07-19T19:49:05.757926+00:00
2024-10-22,True,2025-07-19T19:49:05.752534+00:00,model,"Claude 3.5 Sonnet is a powerful AI model with industry-leading software engineering skills. It excels in coding, planning, and problem-solving, with significant improvements in agentic coding and tool use tasks. The model includes computer use capabilities in public beta, allowing it to interact with computer interfaces like a human user.",,,proprietary,,claude-3-5-sonnet-20241022,True,Claude 3.5 Sonnet,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2024-10-22,https://docs.anthropic.com/en/docs/intro-to-claude#claude-3-5-family,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,https://claude.ai,,https://www.anthropic.com/news/claude-3-5-sonnet,,,2025-07-19T19:49:05.752534+00:00
2025-02-24,True,2025-07-19T19:49:05.747775+00:00,model,"The most intelligent Claude model and the first hybrid reasoning model on the market. Claude 3.7 Sonnet can produce near-instant responses or extended, step-by-step thinking that is made visible to the user. Shows particularly strong improvements in coding and front-end web development.",,,proprietary,,claude-3-7-sonnet-20250219,True,Claude 3.7 Sonnet,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2025-02-24,https://docs.anthropic.com/en/docs/about-claude/models/all-models,,https://claude.ai,,https://www.anthropic.com/news/claude-3-7-sonnet,,,2025-07-19T19:49:05.747775+00:00
2024-03-13,True,2025-07-19T19:49:05.755159+00:00,model,"Claude 3 Haiku is the fastest and most compact model in the Claude 3 family, designed for near-instant responsiveness. It excels at answering simple queries and requests with unmatched speed, making it ideal for seamless AI experiences that mimic human interactions.",,,proprietary,,claude-3-haiku-20240307,True,Claude 3 Haiku,US,AI safety company,anthropic,Anthropic,https://anthropic.com,,2024-03-13,https://www.anthropic.com/claude,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,https://claude.ai,,https://www.anthropic.com/news/claude-3-haiku,,,2025-07-19T19:49:05.755159+00:00
