created_at,data_type,name,provider_id,updated_at,website
2025-07-19T19:49:17.069874+00:00,provider,Anthropic,anthropic,2025-07-19T19:49:17.069874+00:00,https://anthropic.com
2025-07-19T19:49:16.749000+00:00,provider,Azure,azure,2025-07-19T19:49:16.749000+00:00,https://azure.microsoft.com
2025-07-19T19:49:17.004009+00:00,provider,Bedrock,bedrock,2025-07-19T19:49:17.004009+00:00,https://aws.amazon.com/bedrock/
2025-07-19T19:49:17.088130+00:00,provider,Cerebras,cerebras,2025-07-19T19:49:17.088130+00:00,https://cerebras.ai
2025-07-19T19:49:16.663117+00:00,provider,Cohere,cohere,2025-07-19T19:49:16.663117+00:00,https://cohere.ai
2025-07-19T19:49:16.806529+00:00,provider,DeepInfra,deepinfra,2025-07-19T19:49:16.806529+00:00,https://deepinfra.com/
2025-07-19T19:49:16.986078+00:00,provider,DeepSeek,deepseek,2025-07-19T19:49:16.986078+00:00,https://deepseek.com/
2025-07-19T19:49:16.921865+00:00,provider,Fireworks,fireworks,2025-07-19T19:49:16.921865+00:00,https://fireworks.ai/
2025-07-19T19:49:16.864633+00:00,provider,Google,google,2025-07-19T19:49:16.864633+00:00,https://ai.google.dev
2025-07-19T19:49:16.953587+00:00,provider,Groq,groq,2025-07-19T19:49:16.953587+00:00,https://groq.com/
2025-07-19T19:49:16.780946+00:00,provider,Hyperbolic,hyperbolic,2025-07-19T19:49:16.780946+00:00,https://hyperbolic.xyz
2025-07-19T19:49:17.048564+00:00,provider,Lambda,lambda,2025-07-19T19:49:17.048564+00:00,https://lambdalabs.com
2025-07-19T19:49:17.096952+00:00,provider,Mistral AI,mistral,2025-07-19T19:49:17.096952+00:00,https://mistral.ai
2025-07-19T19:49:16.967182+00:00,provider,Novita,novita,2025-07-19T19:49:16.967182+00:00,https://novita.ai/
2025-07-19T19:49:17.121876+00:00,provider,OpenAI,openai,2025-07-19T19:49:17.121876+00:00,https://openai.com
2025-07-19T19:49:17.064218+00:00,provider,Replicate,replicate,2025-07-19T19:49:17.064218+00:00,https://replicate.com/
2025-07-19T19:49:16.697204+00:00,provider,Sambanova,sambanova,2025-07-19T19:49:16.697204+00:00,https://sambanova.ai/
2025-07-19T19:49:16.714534+00:00,provider,Together,together,2025-07-19T19:49:16.714534+00:00,https://together.ai/
2025-07-19T19:49:16.995303+00:00,provider,xAI,xai,2025-07-19T19:49:16.995303+00:00,https://docs.x.ai
2025-07-15T06:36:02.543462+00:00,provider,ZeroEval,zeroeval,2025-07-15T06:36:02.543462+00:00,https://zeroeval.com
